y_mm,mu
-94.25,0.793534
-92.75,0.87113
-91.25,0.852725
-89.75,0.831654
-88.25,0.807296
-86.75,0.787475
-85.25,0.771158
-83.75,0.758196
-82.25,0.74788
-80.75,0.739712
-79.25,0.733215
-77.75,0.72804
-76.25,0.723917
-74.75,0.720615
-73.25,0.718004
-71.75,0.715952
-70.25,0.714332
-68.75,0.71307
-67.25,0.712102
-65.75,0.711379
-64.25,0.710859
-62.75,0.710513
-61.25,0.710318
-59.75,0.710261
-58.25,0.710298
-56.75,0.710349
-55.25,0.709893
-53.75,0.71029
-52.25,0.712918
-50.75,0.708992
-49.25,0.712938
-47.75,0.713027
-46.25,0.71285
-44.75,0.713289
-43.25,0.714012
-41.75,0.714775
-40.25,0.715542
-38.75,0.716362
-37.25,0.717273
-35.75,0.718239
-34.25,0.719289
-32.75,0.720423
-31.25,0.721633
-29.75,0.723021
-28.25,0.724547
-26.75,0.726241
-25.25,0.728139
-23.75,0.730285
-22.25,0.732736
-20.75,0.735566
-19.25,0.738878
-17.75,0.742817
-16.25,0.747595
-14.75,0.753531
-13.25,0.761145
-11.75,0.771271
-10.25,0.785479
-8.75,0.805994
-7.25,0.83823
-5.75,0.883953
-4.25,0.965173
-2.75,1.09291
-1.25,2.01152
0.25,4.069
1.75,2.89675
3.25,2.52101
4.75,1.97913
6.25,1.74024
7.75,1.57448
9.25,1.46352
10.75,1.38126
12.25,1.31158
13.75,1.22819
15.25,1.1587
16.75,1.11813
18.25,1.07972
19.75,1.04503
21.25,1.0121
22.75,0.98366
24.25,0.956009
25.75,0.928216
27.25,0.90361
28.75,0.88005
30.25,0.858701
31.75,0.838099
33.25,0.817307
34.75,0.798807
36.25,0.781213
37.75,0.766325
39.25,0.750713
40.75,0.737025
42.25,0.72544
43.75,0.715349
45.25,0.710209
46.75,0.699702
48.25,0.707777
49.75,0.635399
51.25,0.756003
52.75,0.565238
54.25,0.845116
