y_mm,mu
-94.25,0.780652
-92.75,0.866709
-91.25,0.851574
-89.75,0.832152
-88.25,0.809107
-86.75,0.789299
-85.25,0.772845
-83.75,0.759578
-82.25,0.748946
-80.75,0.740541
-79.25,0.73397
-77.75,0.72885
-76.25,0.724768
-74.75,0.721483
-73.25,0.718869
-71.75,0.71666
-70.25,0.714781
-68.75,0.713563
-67.25,0.712808
-65.75,0.712169
-64.25,0.711713
-62.75,0.711404
-61.25,0.711095
-59.75,0.710907
-58.25,0.710763
-56.75,0.71041
-55.25,0.712299
-53.75,0.711746
-52.25,0.71133
-50.75,0.713704
-49.25,0.71354
-47.75,0.713458
-46.25,0.714119
-44.75,0.715004
-43.25,0.716
-41.75,0.716977
-40.25,0.717999
-38.75,0.719011
-37.25,0.719944
-35.75,0.721131
-34.25,0.722745
-32.75,0.724471
-31.25,0.726277
-29.75,0.728284
-28.25,0.73044
-26.75,0.732849
-25.25,0.73579
-23.75,0.739385
-22.25,0.743748
-20.75,0.749028
-19.25,0.755529
-17.75,0.763842
-16.25,0.774884
-14.75,0.790315
-13.25,0.813176
-11.75,0.847089
-10.25,0.90252
-8.75,0.979496
-7.25,1.23526
-5.75,1.6493
-4.25,3.84627
-2.75,2.53314
-1.25,2.07573
0.25,1.7853
1.75,1.61518
3.25,1.49736
4.75,1.41027
6.25,1.34073
7.75,1.28176
9.25,1.22966
10.75,1.18323
12.25,1.14128
13.75,1.10312
15.25,1.06839
16.75,1.0359
18.25,1.00517
19.75,0.976629
21.25,0.949898
22.75,0.924888
24.25,0.901794
25.75,0.879636
27.25,0.858104
28.75,0.837912
30.25,0.818889
31.75,0.800941
33.25,0.784315
34.75,0.768449
36.25,0.753229
37.75,0.73936
39.25,0.726957
40.75,0.716056
42.25,0.706584
43.75,0.697052
45.25,0.683334
46.75,0.685686
48.25,0.696002
49.75,0.693424
51.25,0.667093
52.75,0.702747
54.25,0.368959
