x,Mu
-9.395295e+01,1.740059e+00
-9.246055e+01,1.936656e+00
-9.096816e+01,2.324021e+00
-8.947577e+01,2.437223e+00
-8.798337e+01,nan
-8.649098e+01,2.542242e+00
-8.499858e+01,2.588853e+00
-8.350619e+01,2.599796e+00
-8.201380e+01,nan
-8.052140e+01,2.581346e+00
-7.902901e+01,2.533897e+00
-7.753662e+01,2.462823e+00
-7.604422e+01,nan
-7.455183e+01,2.367075e+00
-7.305944e+01,2.237145e+00
-7.156704e+01,1.962253e+00
-7.007465e+01,nan
-6.858226e+01,2.614045e+00
-6.708986e+01,2.178681e+00
-6.559747e+01,2.033868e+00
-6.410508e+01,1.923461e+00
-6.261268e+01,nan
-6.112029e+01,1.827507e+00
-5.962790e+01,1.742316e+00
-5.813550e+01,1.662941e+00
-5.664311e+01,nan
-5.515071e+01,1.587230e+00
-5.365832e+01,1.501598e+00
-5.216593e+01,1.411390e+00
-5.067353e+01,nan
-4.918114e+01,1.417821e+00
-4.768875e+01,1.306904e+00
-4.619635e+01,1.277768e+00
-4.470396e+01,nan
-4.321157e+01,1.239193e+00
-4.171917e+01,1.193123e+00
-4.022678e+01,1.151256e+00
-3.873439e+01,1.112495e+00
-3.724199e+01,nan
-3.574960e+01,1.077955e+00
-3.425721e+01,1.046851e+00
-3.276481e+01,1.019534e+00
-3.127242e+01,nan
-2.978003e+01,9.940175e-01
-2.828763e+01,9.701325e-01
-2.679524e+01,9.491840e-01
-2.530285e+01,nan
-2.381045e+01,9.306179e-01
-2.231806e+01,9.148457e-01
-2.082566e+01,9.008571e-01
-1.933327e+01,nan
-1.784088e+01,8.884740e-01
-1.634848e+01,8.795310e-01
-1.485609e+01,8.739162e-01
-1.336370e+01,8.724276e-01
-1.187130e+01,nan
-1.037891e+01,8.746070e-01
-8.886517e+00,8.826971e-01
-7.394123e+00,9.009743e-01
-5.901730e+00,nan
-4.409336e+00,9.264400e-01
-2.916943e+00,1.006948e+00
-1.424549e+00,1.026381e+00
6.784439e-02,nan
1.560238e+00,1.096747e+00
3.052631e+00,5.969156e-01
4.545025e+00,4.908657e-01
6.037418e+00,nan
7.529812e+00,4.900170e-01
9.022205e+00,4.999742e-01
1.051460e+01,5.143574e-01
1.200699e+01,nan
1.349939e+01,5.285540e-01
1.499178e+01,5.412749e-01
1.648417e+01,5.522547e-01
1.797657e+01,nan
1.946896e+01,5.618037e-01
2.096135e+01,5.700731e-01
2.245375e+01,5.775756e-01
2.394614e+01,nan
2.543853e+01,5.843215e-01
2.693093e+01,5.904286e-01
2.842332e+01,5.961086e-01
2.991571e+01,nan
3.140811e+01,6.014936e-01
3.290050e+01,6.066729e-01
3.439289e+01,6.115363e-01
3.588529e+01,6.385583e-01
3.737768e+01,6.144525e-01
3.887008e+01,6.209898e-01
4.036247e+01,6.265705e-01
4.185486e+01,6.573962e-01
4.334726e+01,6.133485e-01
4.483965e+01,6.405950e-01
4.633204e+01,6.313544e-01
4.782444e+01,6.449381e-01
4.931683e+01,nan
5.080922e+01,6.322712e-01
5.230162e+01,6.263620e-01
5.379401e+01,3.068894e-01
