x,S12
-9.394603e+01,2.610053e+01
-9.245346e+01,2.301847e+01
-9.096090e+01,2.052542e+01
-8.946834e+01,1.792778e+01
-8.797578e+01,2.109263e+01
-8.648322e+01,1.644132e+01
-8.499065e+01,1.512969e+01
-8.349809e+01,1.412810e+01
-8.200553e+01,nan
-8.051297e+01,1.335210e+01
-7.902041e+01,1.273107e+01
-7.752784e+01,1.222321e+01
-7.603528e+01,nan
-7.454272e+01,1.179928e+01
-7.305016e+01,1.143756e+01
-7.155760e+01,1.112286e+01
-7.006503e+01,nan
-6.857247e+01,1.084745e+01
-6.707991e+01,1.060298e+01
-6.558735e+01,1.038077e+01
-6.409479e+01,nan
-6.260222e+01,1.017788e+01
-6.110966e+01,9.991427e+00
-5.961710e+01,9.818793e+00
-5.812454e+01,nan
-5.663198e+01,9.656872e+00
-5.513941e+01,9.512488e+00
-5.364685e+01,9.375363e+00
-5.215429e+01,8.485313e+00
-5.066173e+01,1.165947e+01
-4.916917e+01,9.127883e+00
-4.767661e+01,9.016926e+00
-4.618404e+01,8.911791e+00
-4.469148e+01,nan
-4.319892e+01,8.821969e+00
-4.170636e+01,8.737334e+00
-4.021380e+01,8.661420e+00
-3.872123e+01,nan
-3.722867e+01,8.594841e+00
-3.573611e+01,8.534397e+00
-3.424355e+01,8.455732e+00
-3.275099e+01,nan
-3.125842e+01,8.382498e+00
-2.976586e+01,8.387752e+00
-2.827330e+01,8.307630e+00
-2.678074e+01,nan
-2.528818e+01,8.299903e+00
-2.379561e+01,8.306094e+00
-2.230305e+01,8.297689e+00
-2.081049e+01,nan
-1.931793e+01,8.286766e+00
-1.782537e+01,8.292034e+00
-1.633280e+01,8.304473e+00
-1.484024e+01,nan
-1.334768e+01,8.323020e+00
-1.185512e+01,8.351006e+00
-1.036256e+01,8.387552e+00
-8.869994e+00,8.431055e+00
-7.377432e+00,nan
-5.884870e+00,8.484733e+00
-4.392309e+00,8.551613e+00
-2.899747e+00,8.626446e+00
-1.407185e+00,nan
8.537735e-02,8.709134e+00
1.577939e+00,8.803197e+00
3.070501e+00,8.908546e+00
4.563063e+00,nan
6.055625e+00,9.023381e+00
7.548187e+00,9.153652e+00
9.040749e+00,9.306394e+00
1.053331e+01,nan
1.202587e+01,9.464801e+00
1.351843e+01,9.644132e+00
1.501100e+01,9.842908e+00
1.650356e+01,nan
1.799612e+01,1.006400e+01
1.948868e+01,1.031103e+01
2.098124e+01,1.059660e+01
2.247381e+01,nan
2.396637e+01,1.092270e+01
2.545893e+01,1.129552e+01
2.695149e+01,1.173749e+01
2.844405e+01,1.125821e+01
2.993662e+01,1.759541e+01
3.142918e+01,1.293462e+01
3.292174e+01,1.378654e+01
3.441430e+01,1.493111e+01
3.590686e+01,nan
3.739943e+01,1.671657e+01
3.889199e+01,1.964549e+01
4.038455e+01,1.605088e+01
4.187711e+01,nan
4.336967e+01,1.277314e+01
4.486224e+01,1.284037e+01
4.635480e+01,1.471734e+01
4.784736e+01,nan
4.933992e+01,1.741787e+01
5.083248e+01,2.170277e+01
5.232505e+01,2.959126e+01
5.381761e+01,2.647511e+01
