x,Mu
-9.397062e+01,8.671078e-01
-9.247649e+01,9.027536e-01
-9.098236e+01,8.908530e-01
-8.948822e+01,8.639223e-01
-8.799409e+01,8.392607e-01
-8.649996e+01,8.177497e-01
-8.500582e+01,8.010630e-01
-8.351169e+01,7.878886e-01
-8.201756e+01,7.770057e-01
-8.052342e+01,7.674830e-01
-7.902929e+01,7.608732e-01
-7.753516e+01,7.563675e-01
-7.604102e+01,7.527537e-01
-7.454689e+01,7.491508e-01
-7.305276e+01,7.467172e-01
-7.155862e+01,7.428594e-01
-7.006449e+01,7.418571e-01
-6.857036e+01,7.449198e-01
-6.707622e+01,7.434479e-01
-6.558209e+01,7.423953e-01
-6.408796e+01,7.440669e-01
-6.259382e+01,7.466557e-01
-6.109969e+01,7.494382e-01
-5.960556e+01,7.521056e-01
-5.811142e+01,7.566071e-01
-5.661729e+01,7.630644e-01
-5.512316e+01,7.702617e-01
-5.362902e+01,7.793861e-01
-5.213489e+01,7.920698e-01
-5.064075e+01,8.108588e-01
-4.914662e+01,8.375470e-01
-4.765249e+01,8.769043e-01
-4.615835e+01,9.336287e-01
-4.466422e+01,1.039830e+00
-4.317009e+01,1.218115e+00
-4.167595e+01,1.908844e+00
-4.018182e+01,1.964002e+00
-3.868769e+01,2.343118e-01
-3.719355e+01,3.700622e+00
-3.569942e+01,3.038873e+00
-3.420529e+01,2.466849e+00
-3.271115e+01,2.178826e+00
-3.121702e+01,1.973370e+00
-2.972289e+01,1.826191e+00
-2.822875e+01,1.711708e+00
-2.673462e+01,1.618464e+00
-2.524049e+01,1.539725e+00
-2.374635e+01,1.471643e+00
-2.225222e+01,1.411717e+00
-2.075809e+01,1.358309e+00
-1.926395e+01,1.310066e+00
-1.776982e+01,1.266797e+00
-1.627569e+01,1.227141e+00
-1.478155e+01,1.190016e+00
-1.328742e+01,1.156099e+00
-1.179329e+01,1.124680e+00
-1.029915e+01,1.095447e+00
-8.805020e+00,1.068189e+00
-7.310887e+00,1.042692e+00
-5.816754e+00,1.018851e+00
-4.322620e+00,9.963378e-01
-2.828487e+00,9.755127e-01
-1.334353e+00,9.561033e-01
1.597799e-01,9.373039e-01
1.653913e+00,9.196634e-01
3.148047e+00,9.031608e-01
4.642180e+00,8.875804e-01
6.136313e+00,8.728858e-01
7.630447e+00,8.590059e-01
9.124580e+00,8.459278e-01
1.061871e+01,8.335063e-01
1.211285e+01,8.218982e-01
1.360698e+01,8.112060e-01
1.510111e+01,8.008728e-01
1.659525e+01,7.909517e-01
1.808938e+01,7.817414e-01
1.958351e+01,7.731101e-01
2.107765e+01,7.649913e-01
2.257178e+01,7.574324e-01
2.406591e+01,7.501062e-01
2.556005e+01,7.431823e-01
2.705418e+01,7.343463e-01
2.854831e+01,7.265384e-01
3.004245e+01,7.281063e-01
3.153658e+01,7.205575e-01
3.303071e+01,7.114623e-01
3.452485e+01,7.082672e-01
3.601898e+01,7.025989e-01
3.751311e+01,6.982647e-01
3.900725e+01,6.941604e-01
4.050138e+01,6.905317e-01
4.199551e+01,6.874735e-01
4.348965e+01,6.852938e-01
4.498378e+01,6.843904e-01
4.647791e+01,6.841352e-01
4.797205e+01,6.849012e-01
4.946618e+01,6.875189e-01
5.096031e+01,6.782835e-01
5.245445e+01,6.431479e-01
5.394858e+01,4.629993e-01
