x,S12
-9.395900e+01,6.345292e+00
-9.246490e+01,5.343692e+00
-9.097080e+01,4.769274e+00
-8.947670e+01,4.318501e+00
-8.798260e+01,3.957456e+00
-8.648850e+01,3.685575e+00
-8.499440e+01,3.480228e+00
-8.350029e+01,3.326324e+00
-8.200619e+01,3.210890e+00
-8.051209e+01,3.124972e+00
-7.901799e+01,3.062233e+00
-7.752389e+01,3.018219e+00
-7.602979e+01,2.989066e+00
-7.453569e+01,2.971914e+00
-7.304158e+01,2.964885e+00
-7.154748e+01,2.965263e+00
-7.005338e+01,2.970556e+00
-6.855928e+01,2.981724e+00
-6.706518e+01,2.998001e+00
-6.557108e+01,3.018526e+00
-6.407698e+01,3.043003e+00
-6.258287e+01,3.071256e+00
-6.108877e+01,3.101678e+00
-5.959467e+01,3.134624e+00
-5.810057e+01,3.168881e+00
-5.660647e+01,3.195683e+00
-5.511237e+01,3.249861e+00
-5.361827e+01,3.279368e+00
-5.212416e+01,3.321306e+00
-5.063006e+01,3.371641e+00
-4.913596e+01,3.418456e+00
-4.764186e+01,3.466256e+00
-4.614776e+01,3.515456e+00
-4.465366e+01,3.567010e+00
-4.315956e+01,3.621121e+00
-4.166545e+01,3.677614e+00
-4.017135e+01,3.737111e+00
-3.867725e+01,3.799171e+00
-3.718315e+01,3.861827e+00
-3.568905e+01,3.926654e+00
-3.419495e+01,3.995482e+00
-3.270085e+01,4.067448e+00
-3.120674e+01,4.143271e+00
-2.971264e+01,4.223430e+00
-2.821854e+01,4.307340e+00
-2.672444e+01,4.394578e+00
-2.523034e+01,4.486943e+00
-2.373624e+01,4.584803e+00
-2.224214e+01,4.690858e+00
-2.074803e+01,4.805997e+00
-1.925393e+01,4.933219e+00
-1.775983e+01,5.076643e+00
-1.626573e+01,5.242565e+00
-1.477163e+01,5.445775e+00
-1.327753e+01,5.714287e+00
-1.178343e+01,6.103917e+00
-1.028933e+01,6.727095e+00
-8.795224e+00,7.695767e+00
-7.301122e+00,1.091318e+01
-5.807021e+00,2.322579e+01
-4.312919e+00,2.991023e+01
-2.818818e+00,2.308099e+01
-1.324717e+00,1.933605e+01
1.693848e-01,1.729806e+01
1.663486e+00,1.594453e+01
3.157588e+00,1.501515e+01
4.651689e+00,1.434091e+01
6.145790e+00,1.383494e+01
7.639892e+00,1.345074e+01
9.133993e+00,1.315271e+01
1.062809e+01,1.291485e+01
1.212220e+01,1.272621e+01
1.361630e+01,1.257757e+01
1.511040e+01,1.245856e+01
1.660450e+01,1.237670e+01
1.809860e+01,1.231954e+01
1.959270e+01,1.228293e+01
2.108680e+01,1.226818e+01
2.258091e+01,1.227435e+01
2.407501e+01,1.229622e+01
2.556911e+01,1.234800e+01
2.706321e+01,1.242171e+01
2.855731e+01,1.250985e+01
3.005141e+01,1.262505e+01
3.154551e+01,1.276378e+01
3.303962e+01,1.293042e+01
3.453372e+01,1.313580e+01
3.602782e+01,1.338342e+01
3.752192e+01,1.366868e+01
3.901602e+01,1.401483e+01
4.051012e+01,1.443054e+01
4.200422e+01,1.493715e+01
4.349833e+01,1.556483e+01
4.499243e+01,1.635107e+01
4.648653e+01,1.723130e+01
4.798063e+01,1.866293e+01
4.947473e+01,2.084622e+01
5.096883e+01,2.347825e+01
5.246293e+01,2.685387e+01
5.395704e+01,3.240347e+01
