x,S12
-9.401164e+01,1.024939e+01
-9.251864e+01,9.273007e+00
-9.102564e+01,7.985326e+00
-8.953265e+01,6.721502e+00
-8.803965e+01,5.844161e+00
-8.654666e+01,nan
-8.505366e+01,5.187175e+00
-8.356066e+01,4.828289e+00
-8.206767e+01,4.663029e+00
-8.057467e+01,4.653344e+00
-7.908168e+01,nan
-7.758868e+01,4.838681e+00
-7.609569e+01,5.362330e+00
-7.460269e+01,6.456708e+00
-7.310969e+01,1.035342e+01
-7.161670e+01,2.163004e+01
-7.012370e+01,nan
-6.863071e+01,2.802253e+01
-6.713771e+01,2.132358e+01
-6.564471e+01,1.771264e+01
-6.415172e+01,nan
-6.265872e+01,1.570298e+01
-6.116573e+01,1.432848e+01
-5.967273e+01,1.335499e+01
-5.817974e+01,nan
-5.668674e+01,1.262485e+01
-5.519374e+01,1.205631e+01
-5.370075e+01,1.159943e+01
-5.220775e+01,nan
-5.071476e+01,1.122102e+01
-4.922176e+01,1.090016e+01
-4.772877e+01,1.062398e+01
-4.623577e+01,nan
-4.474277e+01,1.038327e+01
-4.324978e+01,1.017162e+01
-4.175678e+01,9.984372e+00
-4.026379e+01,nan
-3.877079e+01,9.818084e+00
-3.727779e+01,9.670147e+00
-3.578480e+01,9.538557e+00
-3.429180e+01,nan
-3.279881e+01,9.421753e+00
-3.130581e+01,9.318505e+00
-2.981282e+01,9.227834e+00
-2.831982e+01,nan
-2.682682e+01,9.148956e+00
-2.533383e+01,9.081232e+00
-2.384083e+01,9.024148e+00
-2.234784e+01,nan
-2.085484e+01,8.977238e+00
-1.936185e+01,8.939586e+00
-1.786885e+01,8.913349e+00
-1.637585e+01,nan
-1.488286e+01,8.896853e+00
-1.338986e+01,8.888886e+00
-1.189687e+01,8.890401e+00
-1.040387e+01,nan
-8.910875e+00,8.901350e+00
-7.417879e+00,8.921760e+00
-5.924883e+00,8.951772e+00
-4.431887e+00,nan
-2.938891e+00,8.991600e+00
-1.445896e+00,9.041558e+00
4.710012e-02,9.102158e+00
1.540096e+00,nan
3.033092e+00,9.174135e+00
4.526088e+00,9.259452e+00
6.019083e+00,9.357926e+00
7.512079e+00,nan
9.005075e+00,9.468395e+00
1.049807e+01,9.574716e+00
1.199107e+01,9.612617e+00
1.348406e+01,nan
1.497706e+01,9.897781e+00
1.647005e+01,1.005761e+01
1.796305e+01,1.020002e+01
1.945605e+01,nan
2.094904e+01,1.040095e+01
2.244204e+01,1.062573e+01
2.393503e+01,1.088264e+01
2.542803e+01,nan
2.692102e+01,1.117107e+01
2.841402e+01,1.149678e+01
2.990702e+01,1.186725e+01
3.140001e+01,nan
3.289301e+01,1.229266e+01
3.438600e+01,1.278664e+01
3.587900e+01,1.336860e+01
3.737200e+01,nan
3.886499e+01,1.406457e+01
4.035799e+01,1.491896e+01
4.185098e+01,1.597873e+01
4.334398e+01,nan
4.483697e+01,1.739673e+01
4.632997e+01,1.916718e+01
4.782297e+01,2.220805e+01
4.931596e+01,nan
5.080896e+01,2.539161e+01
5.230195e+01,3.366442e+01
5.379495e+01,3.160413e+01
