x,Mu
-9.395895e+01,8.890841e-01
-9.246646e+01,9.952125e-01
-9.097397e+01,9.982460e-01
-8.948147e+01,9.391363e-01
-8.798898e+01,nan
-8.649649e+01,8.831398e-01
-8.500399e+01,8.408659e-01
-8.351150e+01,8.103019e-01
-8.201900e+01,nan
-8.052651e+01,7.890701e-01
-7.903402e+01,7.731733e-01
-7.754152e+01,7.607637e-01
-7.604903e+01,nan
-7.455654e+01,7.513725e-01
-7.306404e+01,7.455206e-01
-7.157155e+01,7.417240e-01
-7.007906e+01,7.384249e-01
-6.858656e+01,nan
-6.709407e+01,7.349984e-01
-6.560157e+01,7.333243e-01
-6.410908e+01,7.329505e-01
-6.261659e+01,nan
-6.112409e+01,7.392282e-01
-5.963160e+01,7.243686e-01
-5.813911e+01,7.392262e-01
-5.664661e+01,nan
-5.515412e+01,7.383094e-01
-5.366163e+01,7.370218e-01
-5.216913e+01,7.380818e-01
-5.067664e+01,7.404507e-01
-4.918414e+01,nan
-4.769165e+01,7.442513e-01
-4.619916e+01,7.481740e-01
-4.470666e+01,7.514175e-01
-4.321417e+01,nan
-4.172168e+01,7.562291e-01
-4.022918e+01,7.633063e-01
-3.873669e+01,7.714032e-01
-3.724420e+01,nan
-3.575170e+01,7.812970e-01
-3.425921e+01,7.955528e-01
-3.276671e+01,8.168240e-01
-3.127422e+01,8.477344e-01
-2.978173e+01,nan
-2.828923e+01,8.900915e-01
-2.679674e+01,9.632188e-01
-2.530425e+01,1.072888e+00
-2.381175e+01,nan
-2.231926e+01,1.604602e+00
-2.082677e+01,1.806037e+00
-1.933427e+01,3.036176e+01
-1.784178e+01,nan
-1.634928e+01,2.912410e+00
-1.485679e+01,2.417334e+00
-1.336430e+01,1.995479e+00
-1.187180e+01,nan
-1.037931e+01,1.769769e+00
-8.886817e+00,1.609629e+00
-7.394323e+00,1.493193e+00
-5.901829e+00,nan
-4.409336e+00,1.402299e+00
-2.916842e+00,1.327920e+00
-1.424348e+00,1.264934e+00
6.814528e-02,nan
1.560639e+00,1.210373e+00
3.053133e+00,1.162325e+00
4.545626e+00,1.119497e+00
6.038120e+00,nan
7.530613e+00,1.080981e+00
9.023107e+00,1.046042e+00
1.051560e+01,1.014595e+00
1.200809e+01,nan
1.350059e+01,9.857712e-01
1.499308e+01,9.588999e-01
1.648558e+01,9.344085e-01
1.797807e+01,1.189799e+00
1.947056e+01,8.876939e-01
2.096306e+01,8.910516e-01
2.245555e+01,8.718284e-01
2.394804e+01,1.112975e+00
2.544054e+01,8.047555e-01
2.693303e+01,8.376715e-01
2.842552e+01,8.226503e-01
2.991802e+01,1.023821e+00
3.141051e+01,7.546293e-01
3.290301e+01,7.956853e-01
3.439550e+01,7.807076e-01
3.588799e+01,8.668259e-01
3.738049e+01,7.037681e-01
3.887298e+01,7.588026e-01
4.036547e+01,7.627059e-01
4.185797e+01,7.474678e-01
4.335046e+01,nan
4.484295e+01,7.395464e-01
4.633545e+01,7.162363e-01
4.782794e+01,7.553121e-01
4.932044e+01,nan
5.081293e+01,6.146771e-01
5.230542e+01,9.037327e-01
5.379792e+01,2.753440e-01
