x,Mu
-9.395559e+01,1.669631e+00
-9.246312e+01,1.907130e+00
-9.097065e+01,2.278088e+00
-8.947818e+01,2.393617e+00
-8.798571e+01,nan
-8.649324e+01,2.494786e+00
-8.500077e+01,2.538589e+00
-8.350830e+01,2.550993e+00
-8.201583e+01,nan
-8.052336e+01,2.534237e+00
-7.903089e+01,2.490505e+00
-7.753842e+01,2.421413e+00
-7.604595e+01,nan
-7.455348e+01,2.327917e+00
-7.306101e+01,2.210024e+00
-7.156854e+01,1.999361e+00
-7.007607e+01,3.641330e+00
-6.858360e+01,2.200410e+00
-6.709113e+01,2.171204e+00
-6.559866e+01,2.021277e+00
-6.410619e+01,1.916271e+00
-6.261372e+01,nan
-6.112125e+01,1.822634e+00
-5.962878e+01,1.711242e+00
-5.813631e+01,1.597388e+00
-5.664384e+01,nan
-5.515137e+01,1.624142e+00
-5.365890e+01,1.473267e+00
-5.216643e+01,1.444340e+00
-5.067396e+01,nan
-4.918149e+01,1.397099e+00
-4.768902e+01,1.340397e+00
-4.619655e+01,1.289662e+00
-4.470407e+01,1.242671e+00
-4.321160e+01,nan
-4.171913e+01,1.201108e+00
-4.022666e+01,1.164411e+00
-3.873419e+01,1.132199e+00
-3.724172e+01,nan
-3.574925e+01,1.102202e+00
-3.425678e+01,1.074938e+00
-3.276431e+01,1.051955e+00
-3.127184e+01,nan
-2.977937e+01,1.032964e+00
-2.828690e+01,1.017138e+00
-2.679443e+01,1.003714e+00
-2.530196e+01,9.960442e-01
-2.380949e+01,nan
-2.231702e+01,9.942474e-01
-2.082455e+01,9.997373e-01
-1.933208e+01,1.011613e+00
-1.783961e+01,nan
-1.634714e+01,1.039797e+00
-1.485467e+01,1.078015e+00
-1.336220e+01,1.198279e+00
-1.186973e+01,nan
-1.037726e+01,1.210773e+00
-8.884789e+00,1.418561e+00
-7.392319e+00,6.332943e-01
-5.899848e+00,nan
-4.407378e+00,4.717219e-01
-2.914908e+00,4.495499e-01
-1.422438e+00,4.485942e-01
7.003258e-02,nan
1.562503e+00,4.574017e-01
3.054973e+00,4.689856e-01
4.547443e+00,4.808490e-01
6.039914e+00,nan
7.532384e+00,4.920889e-01
9.024854e+00,5.023755e-01
1.051732e+01,5.118128e-01
1.200979e+01,nan
1.350226e+01,5.204523e-01
1.499474e+01,5.282930e-01
1.648721e+01,5.356512e-01
1.797968e+01,nan
1.947215e+01,5.424958e-01
2.096462e+01,5.489208e-01
2.245709e+01,5.550279e-01
2.394956e+01,nan
2.544203e+01,5.608944e-01
2.693450e+01,5.665679e-01
2.842697e+01,5.720888e-01
2.991944e+01,5.954045e-01
3.141191e+01,5.758401e-01
3.290438e+01,5.826704e-01
3.439685e+01,5.880344e-01
3.588932e+01,6.432267e-01
3.738179e+01,5.841197e-01
3.887426e+01,5.985148e-01
4.036673e+01,6.057984e-01
4.185920e+01,6.490873e-01
4.335167e+01,5.902090e-01
4.484414e+01,6.152779e-01
4.633661e+01,6.205611e-01
4.782908e+01,6.348107e-01
4.932155e+01,nan
5.081402e+01,6.120589e-01
5.230649e+01,6.213559e-01
5.379896e+01,3.134757e-01
