x,S11
-9.382806e+01,-1.035006e+01
-9.233682e+01,-7.448756e+00
-9.084558e+01,-5.841495e+00
-8.935434e+01,-4.913006e+00
-8.786310e+01,nan
-8.637185e+01,-4.201440e+00
-8.488061e+01,-3.714832e+00
-8.338937e+01,-3.429751e+00
-8.189813e+01,nan
-8.040688e+01,-3.392341e+00
-7.891564e+01,-3.045839e+00
-7.742440e+01,-2.869984e+00
-7.593316e+01,-3.219216e+00
-7.444192e+01,nan
-7.295067e+01,-2.865397e+00
-7.145943e+01,-3.016435e+00
-6.996819e+01,-3.087145e+00
-6.847695e+01,nan
-6.698571e+01,-3.184811e+00
-6.549446e+01,-3.277898e+00
-6.400322e+01,-3.387763e+00
-6.251198e+01,nan
-6.102074e+01,-3.503706e+00
-5.952949e+01,-3.752406e+00
-5.803825e+01,-3.879727e+00
-5.654701e+01,-5.897842e+00
-5.505577e+01,nan
-5.356453e+01,-2.185428e+00
-5.207328e+01,-3.939139e+00
-5.058204e+01,-4.215666e+00
-4.909080e+01,nan
-4.759956e+01,-4.433231e+00
-4.610832e+01,-4.585270e+00
-4.461707e+01,-4.710414e+00
-4.312583e+01,nan
-4.163459e+01,-4.820684e+00
-4.014335e+01,-4.929831e+00
-3.865210e+01,-5.039785e+00
-3.716086e+01,nan
-3.566962e+01,-5.151124e+00
-3.417838e+01,-5.263186e+00
-3.268714e+01,-5.375692e+00
-3.119589e+01,nan
-2.970465e+01,-5.488123e+00
-2.821341e+01,-5.599219e+00
-2.672217e+01,-5.709516e+00
-2.523093e+01,nan
-2.373968e+01,-5.819739e+00
-2.224844e+01,-5.928627e+00
-2.075720e+01,-6.036560e+00
-1.926596e+01,nan
-1.777471e+01,-6.144359e+00
-1.628347e+01,-6.252106e+00
-1.479223e+01,-6.359976e+00
-1.330099e+01,-6.468221e+00
-1.180975e+01,nan
-1.031850e+01,-6.577119e+00
-8.827262e+00,-6.686981e+00
-7.336019e+00,-6.798138e+00
-5.844777e+00,nan
-4.353535e+00,-6.910993e+00
-2.862293e+00,-7.025922e+00
-1.371051e+00,-7.143803e+00
1.201913e-01,nan
1.611433e+00,-7.263572e+00
3.102676e+00,-7.386000e+00
4.593918e+00,-7.513296e+00
6.085160e+00,nan
7.576402e+00,-7.644254e+00
9.067644e+00,-7.779758e+00
1.055889e+01,-7.921384e+00
1.205013e+01,nan
1.354137e+01,-8.077472e+00
1.503261e+01,-8.236423e+00
1.652385e+01,-8.448207e+00
1.801510e+01,nan
1.950634e+01,-8.518230e+00
2.099758e+01,-8.715344e+00
2.248882e+01,-9.006736e+00
2.398007e+01,nan
2.547131e+01,-9.194823e+00
2.696255e+01,-9.425561e+00
2.845379e+01,-9.697707e+00
2.994503e+01,nan
3.143628e+01,-9.997806e+00
3.292752e+01,-1.033535e+01
3.441876e+01,-1.072242e+01
3.591000e+01,nan
3.740124e+01,-1.117496e+01
3.889249e+01,-1.171650e+01
4.038373e+01,-1.237591e+01
4.187497e+01,-1.699201e+01
4.336621e+01,-1.289119e+01
4.485746e+01,-1.430463e+01
4.634870e+01,-1.587625e+01
4.783994e+01,-2.044951e+01
4.933118e+01,-1.768664e+01
5.082242e+01,-2.194717e+01
5.231367e+01,-3.320185e+01
5.380491e+01,-5.973476e+01
